id|domain|workload|inputs|evaluation|unit_economics|phase|gate
001|Licensed data|Bloomberg market-data entitlement ledger|Bloomberg Data License or approved API contracts, instrument IDs|entitlement violations; feed freshness|cost per entitled instrument-day|P1|No Terminal scraping or unlicensed reuse
002|Licensed data|Orbis and former Osiris company graph|licensed Moody's Orbis exports, company IDs|entity precision; ownership freshness|cost per verified company record|P1|Contract rights and human review
003|Licensed data|Argos Atlas geospatial-risk ingest|licensed Argos Atlas API, permitted map layers|geocode accuracy; event freshness|cost per reviewed geospatial alert|P1|API rights and geographic privacy
004|Licensed data|Public filing change monitor|SEC or equivalent public filings, issuer IDs|material-change recall; false alert rate|cost per accepted filing insight|P0|Source citation and jurisdiction labels
005|Licensed data|Cross-border corporate registry normalization|licensed registries, legal entity identifiers|entity-match precision; duplicate rate|cost per resolved legal entity|P1|Jurisdiction-specific reuse rights
006|Licensed data|Procurement-award intelligence|official tender feeds, contract notices|award-link precision; lead time|cost per verified opportunity|P1|No confidential bid inference
007|Licensed data|Patent and research landscape|patent offices, publications, assignee IDs|citation recall; assignee resolution|cost per reviewed technology cluster|P0|Provenance and date validity
008|Licensed data|Supplier exposure signals|consented supplier records, permitted news feeds|supplier event precision; detection delay|cost per reviewed supplier alert|P1|No unsupported adverse claims
009|Licensed data|Licensed news and transcript synthesis|licensed news and transcripts, timestamped source IDs|grounding precision; update latency|cost per accepted analyst brief|P1|Copyright and retention limits
010|Licensed data|Data-rights and lineage registry|contracts, permitted datasets, transformations|rights coverage; deletion propagation|cost per governed dataset-month|P0|No training without explicit rights
011|Continuous BI|Temporal lakehouse and Iceberg snapshots|consented events, versioned tables|query freshness; reproducibility|cost per query and stored terabyte-month|P1|Tenant isolation and retention
012|Continuous BI|Identity and entity resolution pipeline|CRM, ERP, registry and partner IDs|match precision and recall|cost per resolved entity|P0|Human merge review and reversibility
013|Continuous BI|Metric semantic layer|finance, product and operations event definitions|metric consistency; lineage completeness|cost per governed KPI-month|P0|Approved denominator definitions
014|Continuous BI|Causal KPI attribution|experiment assignment, outcomes, covariates|lift interval; randomization integrity|cost per valid experiment|P1|No causal claim from correlation
015|Continuous BI|Streaming anomaly triage|consented event streams, seasonal baselines|precision at alert budget; delay|cost per accepted anomaly|P1|Human disposition labels
016|Continuous BI|Probabilistic demand forecast|sales, capacity, calendar signals|calibration; forecast error|cost per forecasted SKU-week|P1|Drift and stockout monitoring
017|Continuous BI|Graph-based dependency impact|service map, supplier graph, events|path recall; impact precision|cost per verified dependency path|P1|Source-linked edges
018|Continuous BI|Cohort economics workbench|consented acquisition and retention events|cohort stability; LTV calibration|cost per analyzed cohort|P1|No protected-trait targeting
019|Continuous BI|Executive decision briefing|versioned KPIs, annotated evidence|citation accuracy; decision usefulness|cost per accepted briefing|P0|Analyst signoff
020|Continuous BI|Continuous unit-economics reconciliation|ledger, cloud bill, model usage, outcomes|cost allocation coverage; variance|cost per independently accepted task|P0|Include license, idle and review cost
